source_id,source_path,source_sha,line,mac_command_id,classification,milestone,status,evidence
ShareItem,src/Files.App/Actions/Content/Share/ShareItemAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Share/ShareItemAction.cs#L8
OpenAllTagged,src/Files.App/Actions/Content/Tags/OpenAllTaggedActions.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Tags/OpenAllTaggedActions.cs#L6
RemoveTags,src/Files.App/Actions/Content/Tags/RemoveTagsAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Content/Tags/RemoveTagsAction.cs#L6
AutoFitColumns,src/Files.App/Actions/Display/AutoFitColumnsAction.cs,99951c66928c4da714da8b1dd46039421182cbab,8,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/AutoFitColumnsAction.cs#L8
GroupByNone,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,6,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L6
GroupByName,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,22,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L22
GroupByDateModified,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,35,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L35
GroupByDateCreated,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,48,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L48
GroupBySize,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,61,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L61
GroupByType,src/Files.App/Actions/Display/GroupAction.cs,99951c66928c4da714da8b1dd46039421182cbab,74,,V,planned,awaiting-behavior-review,https://github.com/files-community/Files/blob/99951c66928c4da714da8b1dd46039421182cbab/src/Files.App/Actions/Display/GroupAction.cs#L74
